root               , notes                                                                , omega_b , omega_cdm , h      , A_s       , n_s    , alpha_s , N_ur   , N_ncdm , omega_ncdm , w0_fld , wa_fld , sigma8_m , sigma8_cb,Omega_m
abacus_cosm115     ,"Baseline -0.3 nnu, -3.3% ln(omega_c), -0.01 n_s                     ",0.02237,0.1161,0.6517,2.12E-09,0.9549,0,1.7328,1,0.0006442,-1,0,0.808089,0.811582,0.1391142
abacus_cosm116     ,"Baseline +7.2% sigma8_matter, counterpart to c004                   ",0.02237,0.12,0.6736,2.39E-09,0.9649,0,2.0328,1,0.0006442,-1,0,0.866133,0.869782,0.1430142
abacus_cosm117     ,Baseline +0.83% ln(omega_c)                                         ,0.02237,0.121,0.6701,2.07E-09,0.9649,0,2.0328,1,0.0006442,-1,0,0.808205,0.811584,0.1440142
abacus_cosm118     ,Baseline -0.83% ln(omega_c)                                         ,0.02237,0.119,0.6771,2.10E-09,0.9649,0,2.0328,1,0.0006442,-1,0,0.808152,0.811582,0.1420142
abacus_cosm119     ,Baseline +0.003 n_s                                                 ,0.02237,0.12,0.6736,2.08E-09,0.9679,0,2.0328,1,0.0006442,-1,0,0.808168,0.811573,0.1430142
abacus_cosm120     ,Baseline -0.003 n_s                                                 ,0.02237,0.12,0.6736,2.09E-09,0.9619,0,2.0328,1,0.0006442,-1,0,0.808181,0.811585,0.1430142
abacus_cosm121     ,Baseline +0.025 w0                                                  ,0.02237,0.12,0.6662,2.12E-09,0.9649,0,2.0328,1,0.0006442,-0.975,0,0.808169,0.811571,0.1430142
abacus_cosm122     ,Baseline -0.025 w0                                                  ,0.02237,0.12,0.681,2.05E-09,0.9649,0,2.0328,1,0.0006442,-1.025,0,0.80817,0.811577,0.1430142
abacus_cosm123     ,"Baseline +0.1 wa, -0.025 w0                                         ",0.02237,0.12,0.6729,2.09E-09,0.9649,0,2.0328,1,0.0006442,-1.025,0.1,0.808176,0.81158,0.1430142
abacus_cosm124     ,"Baseline -0.1 wa, +0.025 w0                                         ",0.02237,0.12,0.6742,2.08E-09,0.9649,0,2.0328,1,0.0006442,-0.975,-0.1,0.808175,0.81158,0.1430142
abacus_cosm125     ,Baseline +0.5% sigma8                                               ,0.02237,0.12,0.6736,2.10E-09,0.9649,0,2.0328,1,0.0006442,-1,0,0.811995,0.815415,0.1430142
