filename,hod,GAL_TYPE,Q_PAR,Q_PERP,LOGM_CUT,LOGM1,SIGMA,ALPHA,KAPPA,ALPHA_C,ALPHA_S,S,S_V,S_P,S_R,ACENT,ASAT,BCENT,BSAT,IC
hod000.fits,hod000,LRG,1.0,1.0,13.639990712527418,14.483088416823403,4.76881072320349,1.4262191710572572,0.8345195676442559,0.230842448703655,0.6478699736287119,0.6058060359267556,0,0,0,-0.22472885978174728,0.4592109922812422,-0.36676472594281084,-0.24070216459378146,1
hod001.fits,hod001,LRG,1.0,1.0,13.490700273618558,14.177532658575801,5.710524315928722,1.418342318583083,0.9037754096106086,0.06181701071473776,0.9513179685563349,0.9705052930448974,0,0,0,-0.12764655528460966,-0.13148709051936258,-0.6425947450728122,-0.3824683051739779,1
hod003.fits,hod003,LRG,1.0,1.0,13.623330440941935,14.355437864426106,5.125763179992684,0.9610516961948627,0.1556038721960032,0.033892620663004046,1.1719941275875718,-0.9510981848594994,0,0,0,0.3443648206118133,-0.13421609528714995,0.12655122893810256,0.432825148769163,1
hod004.fits,hod004,LRG,1.0,1.0,13.525019810053951,13.949752903712746,1.0388063689244946,0.43200651312521693,0.5455911094486628,0.40734174440977483,1.1279682829950546,-0.9029934584348143,0,0,0,-0.9686776111828903,0.6744886251760809,0.16081398376611633,-0.8808614447894413,1
hod006.fits,hod006,LRG,1.0,1.0,12.63545775916312,14.286636490907712,0.002535879991418331,0.5998346796700742,0.2258556934217981,0.10171346230926015,0.8253036310074137,0.9025882788154598,0,0,0,0.3601696451800256,0.8153518722627711,-0.31021858197734653,-0.11511007266923012,1
hod007.fits,hod007,LRG,1.0,1.0,12.505687727455122,14.536148649282088,0.006899847098236162,0.636565949848683,0.45102260340938755,0.07825994362687187,1.2386111139598652,-0.3260593871434265,0,0,0,-0.00549016620049103,0.7587723795754779,-0.3278403231551756,0.987302446461175,1
hod008.fits,hod008,LRG,1.0,1.0,12.516291658248674,14.91789868525121,0.006366574695298249,0.7946800496075583,0.36984510505116197,0.31928193178648373,0.6082439805833507,0.6475210103077287,0,0,0,-0.3911093520173561,-0.7514943378037832,-0.5500831094450687,0.7354690640653878,1
hod009.fits,hod009,LRG,1.0,1.0,12.766278843308454,14.712941460964052,0.019102578666744773,0.4156022121122954,0.028508971029420908,0.08288936676062944,0.8023295913676752,-0.49634256096282503,0,0,0,-0.22470256357497287,-0.31599438925911905,-0.5871362592094461,-0.40947189525327776,1
hod011.fits,hod011,LRG,1.0,1.0,12.799417027266323,14.895319796952931,0.008689147286275175,1.3507543309143217,0.649965110263789,0.018132357949034648,0.6233816771094319,-0.8725272380539985,0,0,0,-0.06929254383995209,0.8139701858601129,0.03837194090984175,0.25920279413017333,1
hod013.fits,hod013,LRG,1.0,1.0,12.528340625194595,13.805205108660479,0.001372514002058231,0.9964505299595954,0.6923752333646351,0.4857191123277446,1.0858487050526828,-0.3843573407686123,0,0,0,0.8910901468325878,0.43113258155432277,0.1975828808292348,0.8520981582711475,1
hod017.fits,hod017,LRG,1.0,1.0,12.831139832764547,15.09785155515955,3.572294813292282,0.7477666036276513,0.3348266938582042,0.4877468113874171,1.0258572822118355,-0.9563901061088625,0,0,0,0.1554873643074881,-0.6339760824905236,-0.19609982404202764,0.6595687159135235,1
hod018.fits,hod018,LRG,1.0,1.0,12.631482427306981,13.974083143692944,5.256205801826435,0.9942601085773128,0.3490116206079514,0.27990771963732336,0.8902129679356638,0.5296320786595106,0,0,0,0.510071300232444,0.7567615038314139,-0.253992316277575,-0.28748008188162955,1
hod020.fits,hod020,LRG,1.0,1.0,12.94921004685662,14.695993047743675,1.953535513406392,0.676732336918831,0.24647430044337507,0.5535514067923819,0.9044732117248682,0.8756082310829283,0,0,0,-0.6986087843336335,-0.23412851764172748,0.05654002820007742,-0.25955620281638236,1
hod022.fits,hod022,LRG,1.0,1.0,13.39989294835433,14.30498251702416,2.002457251635325,0.5599403873619367,0.7546659566483697,0.06812467099710035,0.6769417959017765,-0.4291080579011244,0,0,0,-0.7275178249331065,-0.4306718228763222,-0.39365042221638313,-0.5069381151569539,1
hod023.fits,hod023,LRG,1.0,1.0,13.239964184106835,14.526212432106444,3.1432645698972492,0.7456759566468035,0.20709766959688608,0.23903349285970146,1.193037545621673,-0.1756497378740014,0,0,0,0.7441330323330866,-0.878248325248514,-0.5509061285108434,-0.06484012283711382,1
hod026.fits,hod026,LRG,1.0,1.0,13.603865209160713,14.227294487322848,8.872714912250004,0.3925081355523399,0.6581878433056108,0.4134660169655927,0.9678210984240814,0.30070461261305104,0,0,0,0.45140320611802465,0.8494903817914339,-0.04109725674248343,-0.5916520945218806,1
hod029.fits,hod029,LRG,1.0,1.0,12.710436919089256,14.764118574262035,1.2192076007060517,0.8541259787626116,0.7971325069889464,0.2548911081738644,0.7408200595351079,0.4075934518908446,0,0,0,-0.23904506732908803,0.29886401510566984,0.1570873182670246,-0.5268165520314538,1
hod030.fits,hod030,LRG,1.0,1.0,13.122080825165172,13.873058203996171,8.669496476123262,0.5642481650336595,0.44261258715347807,0.09154624648936517,0.6353118536751131,-0.8852306903819835,0,0,0,-0.0529696058449598,0.9107820326690528,0.11481166597032055,0.5540318975151581,1
hod032.fits,hod032,LRG,1.0,1.0,12.504219483686319,14.976280200526826,0.057264589056359796,0.415463575903012,0.33281702706208555,0.12111641174455694,0.5915512026276556,-0.859143214049231,0,0,0,-0.8862352945535994,-0.9282337219273021,0.04818489296663275,-0.29806210463205207,1
hod033.fits,hod033,LRG,1.0,1.0,13.661218095205864,13.81391056961462,6.558346940050997,0.8945259806933006,0.6047781109188247,0.5272966975044374,0.6689544902242776,-0.7903775896505377,0,0,0,-0.06450234306543057,-0.7502575840004861,-0.5491768700034094,0.6857523968270389,1
hod036.fits,hod036,LRG,1.0,1.0,12.546755622550592,14.39605243029672,0.09505334705690277,0.47077901897109353,0.7731788632555748,0.5592815223609598,1.203679918788032,-0.2851710742345227,0,0,0,-0.7230595417171154,-0.9724031042598488,0.10563340879650018,-0.373889383613221,1
hod039.fits,hod039,LRG,1.0,1.0,13.20781821873212,13.878197374708924,7.851046338112467,0.539510804808992,0.29612761974649066,0.11719848202287977,0.9330956695125334,-0.15165323315115442,0,0,0,-0.7967794157417027,0.5347677802490591,0.16544677872667857,-0.691139271493573,1
hod044.fits,hod044,LRG,1.0,1.0,13.549822734741303,14.52839033557735,2.34871508560104,0.8942868762048872,0.33806136036721784,0.10704499057932902,0.6191208023784307,-0.5091799393416403,0,0,0,-0.26355888169541686,0.38235672497391504,0.12630955661024967,-0.9183703915640947,1
